YYYYMMDD,RH
#,Opmerking:
#,SOURCE:
#,Comment:
#,STN
#,344
#,RH
#,"STN,YYYYMMDD,"
"344,20120731,",14
"344,20120801,",37
"344,20120802,",51
"344,20120803,",36
"344,20120804,",6
"344,20120805,",130
"344,20120806,",8
"344,20120807,",118
"344,20120808,",1
"344,20120809,",0
"344,20120810,",0
"344,20120811,",0
"344,20120812,",0
"344,20120813,",20
"344,20120814,",3
"344,20120815,",2
"344,20120816,",0
"344,20120817,",0
"344,20120818,",0
"344,20120819,",6
"344,20120820,",0
"344,20120821,",-1
"344,20120822,",0
"344,20120823,",0
"344,20120824,",19
"344,20120825,",47
"344,20120826,",182
"344,20120827,",-1
"344,20120828,",24
"344,20120829,",16
"344,20120830,",89
"344,20120831,",139
"344,20120901,",0
"344,20120902,",0
"344,20120903,",0
"344,20120904,",0
"344,20120905,",0
"344,20120906,",0
"344,20120907,",0
"344,20120908,",0
"344,20120909,",0
"344,20120910,",1
"344,20120911,",4
"344,20120912,",30
"344,20120913,",0
"344,20120914,",8
"344,20120915,",0
"344,20120916,",0
"344,20120917,",8
"344,20120918,",50
"344,20120919,",17
"344,20120920,",14
"344,20120921,",5
"344,20120922,",27
"344,20120923,",70
"344,20120924,",148
"344,20120925,",78
"344,20120926,",-1
"344,20120927,",44
"344,20120928,",6
"344,20120929,",10
"344,20120930,",0
"344,20121001,",19
"344,20121002,",12
"344,20121003,",49
"344,20121004,",107
"344,20121005,",130
"344,20121006,",141
"344,20121007,",0
"344,20121008,",-1
"344,20121009,",0
"344,20121010,",0
"344,20121011,",7
"344,20121012,",115
"344,20121013,",166
"344,20121014,",143
"344,20121015,",14
"344,20121016,",29
"344,20121017,",18
"344,20121018,",100
"344,20121019,",35
"344,20121020,",4
"344,20121021,",8
"344,20121022,",0
"344,20121023,",0
"344,20121024,",1
"344,20121025,",3
"344,20121026,",0
"344,20121027,",-1
"344,20121028,",1
"344,20121029,",119
"344,20121030,",105
"344,20121031,",0
"344,20121101,",45
"344,20121102,",16
"344,20121103,",15
"344,20121104,",103
"344,20121105,",46
"344,20121106,",105
"344,20121107,",4
"344,20121108,",2
"344,20121109,",1
"344,20121110,",42
"344,20121111,",36
"344,20121112,",4
"344,20121113,",5
"344,20121114,",0
"344,20121115,",0
"344,20121116,",0
"344,20121117,",9
"344,20121118,",36
"344,20121119,",0
"344,20121120,",0
"344,20121121,",9
"344,20121122,",0
"344,20121123,",50
"344,20121124,",48
"344,20121125,",17
"344,20121126,",6
"344,20121127,",1
"344,20121128,",9
"344,20121129,",6
"344,20121130,",18
"344,20121201,",109
"344,20121202,",93
"344,20121203,",52
"344,20121204,",96
